Latitude,Longitude
45.523449,-122.676208
37.774929,-122.419418
47.606209,-122.33206899999999
34.052231,-118.243683
32.715328,-117.157257
36.174969,-115.137222
33.44838,-112.07404299999999
35.084492,-106.65113799999999
39.739151,-104.984703
29.424120000000002,-98.493629
32.783058000000004,-96.806671
29.763281,-95.363274
39.099731,-94.578568
44.979969,-93.26384
38.62727,-90.197891
41.850029,-87.650047
36.165890000000005,-86.784439
39.768378999999996,-86.158043
33.749001,-84.387978
42.331429,-83.045753
30.332179999999997,-81.655647
35.227089,-80.843132
25.774269,-80.193657
40.44062,-79.995888
39.952339,-75.163788
40.714271999999994,-74.005966
42.358429,-71.05976899999999
